"link_name","data_as_of","status","speed","travel_time"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:09:03.000","0","41.01","372"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:09:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:09:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:09:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T07:04:04.000","0","26.71","355"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T07:04:04.000","0","27.34","260"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T07:04:04.000","0","42.25","361"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T07:04:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T07:04:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T07:04:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:59:04.000","0","24.85","382"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:59:04.000","0","26.71","266"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:59:04.000","0","44.73","341"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:59:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:59:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:59:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:54:04.000","0","18.01","529"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:54:04.000","0","27.34","262"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:54:04.000","0","46.60","329"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:54:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:54:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:54:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:49:04.000","0","15.53","610"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:49:04.000","0","24.23","294"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:49:04.000","0","49.70","310"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:49:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:49:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:49:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:44:03.000","0","23.61","408"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:44:03.000","0","20.50","343"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:44:03.000","0","47.84","320"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:44:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:44:03.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:44:03.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:39:04.000","-101","24.23","393"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:39:04.000","0","21.74","326"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:39:04.000","0","47.84","321"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:39:04.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:39:04.000","-101","0.00","0"
"GOW N 9TH STREET - ATLANTIC AVENUE","2022-05-21T06:39:04.000","-101","0.00","0"
"BQE N Atlantic Ave - MAN Bridge Manhattan Side","2022-05-21T06:34:03.000","0","19.26","488"
"BQE N Atlantic Ave - BKN Bridge Manhattan Side","2022-05-21T06:34:03.000","0","26.09","271"
"BQE S LEONARD STREET - ATLANTIC AVENUE","2022-05-21T06:34:03.000","0","47.22","323"
"BQE N ATLANTIC AVENUE - LEONARD STREET","2022-05-21T06:34:03.000","-101","0.00","0"
"BQE S - GOW S ALTANTIC AVENUE - 9TH STREET","2022-05-21T06:34:03.000","-101","0.00","0"
